ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly
1,22pF,"C10,C9,C11,C12",C0805,4,CL21C220JBANNNC,SAMSUNG,LCSC,C1804,Yes
2,1TS005F-2500-5001,"SW2,SW1,SW5,SW3,SW4",KEY-SMD_4P-L6.0-W6.0-P4.50,5,1TS005F-2500-5001,HYP,LCSC,C255812,
3,2.54-4P,"CN4,CN5,CN6",CONN-SMD_2.54-4P-WT,3,-,Boom Precision Elec,LCSC,C146120,
4,75,"R20,R21",R0805,2,0805W8J0750T5E,UniOhm,LCSC,C25327,
5,2.54-8P,"CN2,CN3",CONN-SMD_2.54-8P-WT,2,-,Boom Precision Elec,LCSC,C146124,
6,TYPE-C-31-M-14,USBC1,USB-C-SMD_12P-P0.50-H-F_TYPE-C-31-M-14,1,TYPE-C-31-M-14,Rectangular Connectors - Contacts,LCSC,C223907,
7,XH2.54-2AB,CN1,CONN-SMD_2P-P2.54_XH2.54-2AB,1,-,Boom Precision Elec,LCSC,C146125,
8,LP5907MFX-3.3/NOPB,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,LP5907MFX-3.3/NOPB,Texas Instruments,LCSC,C80670,Yes
9,100uF,"C4,C2,C6",CAP-SMD_L7.3-W4.3,3,10TPC100M,PANASONIC,LCSC,C147766,Yes
10,1uH,"L1,L3,L5",IND-SMD_L6.0-W6.0_SLF6028T,3,SLO0618H1R0MTT,Sunltech Tech,LCSC,C216188,
11,100uH,L2,IND-SMD_L11.8-W10.8,1,JSHC1040H-101M-G,Jinlai,LCSC,C334110,
12,SS54,D1,SMA_L4.4-W2.8-LS5.4-R-RD,1,SS54,MDD,LCSC,C22452,Yes
13,HDR-M-2.54_1x16,"J2,J1",HDR-M-2.54_1X16,2,,,LCSC,C50981,
14,8MHz,X1,OSC-SMD_L11.5-W4.8-P9.50,1,X49SM8MSD2SC,YXC,LCSC,C12674,
15,500mA,F1,F1206,1,-,XC Elec(Shenzhen),LCSC,C140466,
16,22,"R1,R2",R0805,2,TC0525F220JT5E,UniOhm,LCSC,C65068,Yes
17,100uH,L4,L0805,1,MLF2012C101KT000,TDK,LCSC,C68035,Yes
18,100K,"R4,R5",805,2,080500F1003T5E,UniOhm,LCSC,C149504,
19,17-21SURC/S530-A3/TR8,"LED3,LED4,LED2,LED1",LED0805-R-RD,4,17-21SURC/S530-A3/TR8,EVERLIGHT,LCSC,C72037,Yes
20,STM32F103C8T6,U4,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32F103C8T6,STMicroelectronics,LCSC,C8734,Yes
21,10K,"R13,R8,R9,R10,R11,R12",RES-ADJ-TH_RS6011SP6003,6,RS6011SP6003,ALPS Electric,LCSC,C370993,
22,HDR-M-2.54_1x2,J3,HDR-M-2.54_1X2,1,,,LCSC,C124375,
23,X2 - 32.768KHz,X2,MC-306_4P-L8.0-W3.2-P5.5-BL,1,Q13MC3061000300,EPSON,LCSC,C16320,Yes
24,C189733,USB1,USB-B_TH_BF90,1,C189733,Shenzhen Cankemeng,LCSC,C189733,
25,100nF,"C8,C7,C5,C1,C21,C20,C22,C3",C0805,8,CL21B104KBCNNNC,SAMSUNG,LCSC,C1711,
26,1M,R26,R0805,1,0805W8J0105T5E,UniOhm,LCSC,C26115,
27,LM2594M-3.3/TR,U1,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LM2594M-3.3/TR,HGSEMI,LCSC,C316691,Yes
28,HDR-F-2.54_2x3,H1,HDR-F-2.54_2X3,1,,,LCSC,C65114,
29,HDR-F-2.54_1x4,H2,HDR-F-2.54_1X4,1,,,LCSC,C225501,
30,10K,"R16,R17,R18,R19,R7,R6,R14,R15",R0805,8,0805W8J0103T5E,UniOhm,LCSC,C25612,
31,150,"R22,R3",R0805,2,0805W8J0151T5E,UniOhm,LCSC,C25283,
32,HDR-M-2.54_1x4,"J6,J5,J4",HDR-M-2.54_1X4,3,,,LCSC,C124378,
33,1k,"R25,R24",R0201,2,,,,,
34,1.5K,R23,R0805,1,0805W8J0152T5E,UniOhm,LCSC,C26015,
35,1nF,"C14,C13,C19,C18,C17,C16,C15",C0805,7,CL21B102KCANNNC,SAMSUNG,LCSC,C15177,Yes
